key	title	identifier	pdf_url	code_clone	pages	sha256	local_pdf	local_text
hypergraphrag	HyperGraphRAG: Retrieval-Augmented Generation via Hypergraph-Structured Knowledge Representation	NeurIPS-2025-df55ee6e59f8	https://proceedings.neurips.cc/paper_files/paper/2025/file/df55ee6e59f8ac4a625219e11fe9ddba-Paper-Conference.pdf	HyperGraphRAG	29	2fae859984154a402b48f33de63c0a8d62fe4d15c61894d14d31f07da2a4a05c	pdfs/01_hypergraphrag_neurips2025.pdf	text/01_hypergraphrag_neurips2025.txt
hgrag	Cross-Granularity Hypergraph Retrieval-Augmented Generation for Multi-hop Question Answering	AAAI-2026-40623	https://ojs.aaai.org/index.php/AAAI/article/download/40623/44584	HGRAG	9	a520e513cd007ee8b1ce7888039014d3866c3174079beccb529d6a70ef59761a	pdfs/02_hgrag_aaai2026.pdf	text/02_hgrag_aaai2026.txt
sirerag	SiReRAG: Indexing Similar and Related Information for Multihop Reasoning	arXiv:2412.06206;OpenReview:yp95goUAT1	https://arxiv.org/pdf/2412.06206	SiReRAG	20	248a4ada768ad36adbb5c8821ff4e36eed8e3258da0762b73c412d586f4dde9a	pdfs/03_sirerag_iclr2025.pdf	text/03_sirerag_iclr2025.txt
hipporag1	HippoRAG: Neurobiologically Inspired Long-Term Memory for Large Language Models	arXiv:2405.14831	https://arxiv.org/pdf/2405.14831	HippoRAG	31	14671c78fc7de99d83bb9e52e2d5b335d4756066925e67df1a25c0e272133aad	pdfs/04_hipporag1_neurips2024.pdf	text/04_hipporag1_neurips2024.txt
hipporag2	From RAG to Memory: Non-Parametric Continual Learning for Large Language Models	arXiv:2502.14802	https://arxiv.org/pdf/2502.14802	HippoRAG	19	90fa6af3ee8298a6c3abef6df0a9b0f092496cb7d6b1c3e8b55c5c8f5b552eb3	pdfs/05_hipporag2_icml2025.pdf	text/05_hipporag2_icml2025.txt
zep_graphiti	Zep: A Temporal Knowledge Graph Architecture for Agent Memory	arXiv:2501.13956	https://arxiv.org/pdf/2501.13956	graphiti,zep	12	d26f7eb599540e8b14d75e7efda58a07661abbb1b864e58323b5768475a15d42	pdfs/06_zep_graphiti_temporal_memory.pdf	text/06_zep_graphiti_temporal_memory.txt
t_grag	T-GRAG: A Dynamic GraphRAG Framework for Resolving Temporal Conflicts and Redundancy in Knowledge Retrieval	arXiv:2508.01680	https://arxiv.org/pdf/2508.01680	T-GRAG	17	44366ec7574e8601614709e6efd1c156c26e9086daa5b41900ed6cbd31c5a58f	pdfs/07_t_grag_acmmm2025.pdf	text/07_t_grag_acmmm2025.txt
gfm_rag	GFM-RAG: Graph Foundation Model for Retrieval Augmented Generation	arXiv:2502.01113	https://arxiv.org/pdf/2502.01113	gfm-rag	35	7b21153c7f1d9bd16125800720e1ce5fe9a480a0b934ccef48c901be94153635	pdfs/08_gfm_rag_neurips2025.pdf	text/08_gfm_rag_neurips2025.txt
arigraph	AriGraph: Learning Knowledge Graph World Models with Episodic Memory for LLM Agents	arXiv:2407.04363	https://arxiv.org/pdf/2407.04363	AriGraph	21	983ae287d1fdc3f54451b4064d228655056f6f1c1575d99a8a79fd66e6551754	pdfs/09_arigraph_world_model.pdf	text/09_arigraph_world_model.txt
tiermem	From Lossy to Verified: A Provenance-Aware Tiered Memory for Agents	arXiv:2602.17913	https://arxiv.org/pdf/2602.17913	Tiermem	22	22dc00d8441af5c7cd80793d644b417c51ea2043641ed8c25ab43ccd3dab24ce	pdfs/10_tiermem_provenance_memory.pdf	text/10_tiermem_provenance_memory.txt
proverag	ProveRAG: Provenance-Driven Vulnerability Analysis with Automated Retrieval-Augmented LLMs	arXiv:2410.17406;DOI:10.1109/ACCESS.2025.3638251	https://arxiv.org/pdf/2410.17406	ProveRAG	12	6dcff7b6c7d1ccb0111f42c9deeb496ba116e850479b54cbfb53e66b0c3259ee	pdfs/11_proverag_provenance_rag.pdf	text/11_proverag_provenance_rag.txt
